Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,9298839655,22823255802,51264390116,57531233351,57236013086,53274304222,57236652490,64233966861,64515038268,61231149881,53560755047,59319484711
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,13360607918,13760513969,67517349212,73180036692,80845384375,86196265192,86138288615,62081323299,52633143808,59907674027,59894305353,69238903106
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,168879207.2,272014693.1,747839697.7,758304466.2,772315721.3,730870581.7,780889605.9,880062103,914736985.4,936526267.6,896879875.2,956332655.7
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,48598315565,1.17141E+11,3.81286E+11,3.71005E+11,4.82359E+11,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Vietnam,VNM,6471740806,31172518403,1.95591E+11,2.13709E+11,2.33451E+11,2.39258E+11,2.57096E+11,2.81354E+11,3.10106E+11,3.34365E+11,3.46616E+11,3.66138E+11
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,..,..,4089000000,3738000000,3565000000,3663000000,3798000000,3794000000,3922000000,4117000000,4204000000,..
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,PSE,..,4313600000,12208400000,13515500000,13989700000,13972400000,15405400000,16128000000,16276600000,17133500000,15531700000,18036800000
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,5647119229,9652436180,35401323350,40415233436,43228585321,42444495590,31317828584,26842231205,21606161066,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,3285217391,3600683040,25503060420,28037239463,27141023558,21251216799,20958412538,25873601261,26311590297,23308667781,18110631358,22147634727
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,8783816700,6689957600,17114849880,19091019990,19495519630,19963120610,20548678070,17584890937,34156069918,21832234926,21509698406,28371238666
GDP (current US$),NY.GDP.MKTP.CD,Africa Eastern and Southern,AFE,2.53227E+11,2.83928E+11,9.72573E+11,9.83473E+11,1.00377E+12,9.24523E+11,8.82721E+11,1.02112E+12,1.00724E+12,1.00102E+12,9.27484E+11,1.08071E+12
